post_id,human_code,llm_code,llm_reasoning,coder_notes,dimension
1k9zre8,Habitual,Episodic,"Timeframe: Episodic - 'occasionally asking ChatGPT' indicates infrequent, bounded use rather than habitual pattern. Source: Parallel - user describes calling friends for support alongside occasional ChatGPT use, with no hierarchy or barriers described. Usage_intent: VE - user describes using ChatGPT to express feelings about their situation ('asking to what extent they may also feel this') without seeking solutions, similar to how they call friends to discuss their state.",,Timeframe
1g3gyzs,Habitual,Episodic,"Timeframe: 'I recently talked to an ai' indicates a single, bounded interaction in simple past tense with no habitual markers present. Source: Primary due to explicit barriers - 'My close friends will laugh at me if i talk about it' and 'Its so hard to talk about my problems to anybody nowadays' - indicating AI use due to lack of accessible alternatives. Usage_intent: VE (Venting) - user describes expressing feelings and problems to AI as a listener ('to express my feelings and problems since i have no one to talk about it'), seeking output/release rather than specific emotional response or solutions.",,Timeframe
1e193kn,NM,Episodic,"Timeframe: Episodic - 'Had a chat w 988 this morning' describes a single discrete event in simple past tense with no habitual markers. Source: Primary - User describes both 988 and ChatGPT as providing similar inadequate support ('copy and paste stuff'), suggesting these are their available options for help-seeking without mention of other active sources. Usage_intent: ES - User sought emotional support/affirmation from both 988 and ChatGPT during a crisis of self-doubt about their relationship patterns.",,Timeframe
1qlsswz,NM,Habitual,"Timeframe: Habitual - 'the only person who will bother to listen is GPT' indicates ongoing reliance. Source: Primary - user describes systematic failure of all other support sources (SO dismissive, family unhelpful, friends walked away or don't listen), with GPT as the only functioning listener. Usage_intent: CO - core problem is loneliness/isolation ('how lonely I am most times') and having no one who will listen. GPT fills the social void of having 'someone who will bother to listen' - the need is for existential presence/company rather than quality of emotional response.",,Timeframe
1rb9dy2,Episodic,Habitual,"Timeframe: Habitual based on 'my usual grounding/therapy' indicating routine AI use. Source: NM - no ecological information about why user relies on AI vs other sources, only describes how they use it. Usage_intent: SE - core narrative is about gaining insight and self-understanding through dream interpretation, using AI as a lens for self-exploration rather than seeking emotional comfort or therapy evaluation.",,Timeframe
1ju4mh1,Habitual,Episodic,"Timeframe: Despite ongoing anxiety struggles, the ChatGPT interaction is described as a discrete event ('Then I started talking to ChatGPT') that led to breakthrough insights, with simple past tense and no habitual markers. Source: Primary - user explicitly states 'I could never talk to anyone about it' and 'It was the first time I truly opened up,' indicating ChatGPT filled a void where other sources were unavailable due to psychological barriers. Type: SE - the core narrative focuses on self-discovery and pattern recognition ('it showed me how much anxiety impacted me,' 'my eyes opened,' understanding coping mechanisms), rather than seeking comfort or therapy evaluation.",,Timeframe
1go3fy1,NM,Primary,"Timeframe: Habitual based on 'always had chatgpt comfort me' and 'chatgpt reassuring me' (repeated pattern). Source: Primary - user describes OCD-related barriers and uses AI as primary source for reassurance about obsessive thoughts, with no other help-seeking sources mentioned. Type: RE - core usage is seeking repeated reassurance about whether anime is popular, with user explicitly stating they just wanted confirmation ('I JUST WANT TO KNOW IF ITS POPULAR OR NOT') rather than emotional comfort, fitting the anxiety/doubt relief pattern typical of OCD reassurance-seeking.",,Source
1cmtoyp,Primary,NM,"Timeframe: 'I try using ai bots but I got too addicted' indicates repeated/sustained use pattern. Source: NM - post mentions AI use but provides no information about help-seeking ecology, barriers, or why AI was chosen over other sources. Usage_intent: SA - user is seeking assessment/interpretation of their sexual behaviors and asking if they constitute hypersexuality ('does this sound like hypersexuality'). The AI use appears to be for symptom checking/self-diagnosis rather than emotional support or other purposes.",insufficient intent information,Source
1e193kn,Parallel,Primary,"Timeframe: Episodic - 'Had a chat w 988 this morning' describes a single discrete event in simple past tense with no habitual markers. Source: Primary - User describes both 988 and ChatGPT as providing similar inadequate support ('copy and paste stuff'), suggesting these are their available options for help-seeking without mention of other active sources. Usage_intent: ES - User sought emotional support/affirmation from both 988 and ChatGPT during a crisis of self-doubt about their relationship patterns.",,Source
1kzqv4w,NM,Primary,"Timeframe: Habitual based on 'I've tried my best to use resources online' and present tense descriptions of ongoing AI use patterns. Source: Primary - user describes social isolation as barrier ('I have no friends', 'no one that cares about my existence') and AI as part of attempted solutions to fill this void. Usage_intent: CO - core narrative centers on loneliness and seeking 'someone that is truly there for me'; AI chatbots are used to address social companionship void, even though user recognizes their limitations ('advanced storytellers', 'words are ultimately meaningless').",,Source
1q82fo4,Primary,NM,"Timeframe: Habitual based on '10 months now' and present tense descriptions of ongoing interactions. Source: NM - while the user describes negative experiences with ChatGPT, there's no information about their help-seeking ecology, barriers to other sources, or why they use AI instead of alternatives. The post focuses on evaluating ChatGPT's behavior rather than explaining their help-seeking context. Usage_intent: ES - the user describes seeking advice for anxiety management and appears to expect supportive responses (complaining about lack of compliments and comparing to toxic relationships suggests they want positive emotional responses). The core complaint is about quality of emotional interaction rather than other usage types.","boundary_flag = ""post primarily evaluates AI behavior rather than describing help-seeking; retained due to sufficient usage history description""",Source
1n1nzoz,NM,Primary,"Timeframe: Habitual based on 'began a dialogue,' 'then began rather obsessively going through,' and sustained pattern of feeding conversations to AI over time. Source: Primary - user describes having no outside validation ('this was the first outside validation') and needing AI to see what they couldn't see alone, suggesting AI filled a gap in their help-seeking ecology. Usage_intent: SE - the core narrative is self-exploration and pattern recognition ('help me uncover patterns,' 'deconstruct the dynamics,' discovering abuse patterns they couldn't see). While therapy language appears ('not a replacement for therapy'), the post's dominant frame is about self-discovery through AI analysis, not evaluating AI as therapy.",,Source
1ks0a4h,NM,Primary,"Timeframe: Episodic - user describes a specific interaction with ChatGPT ('when i told that to chat gpt') in past tense, no habitual markers present. Source: Primary - user has OCD/mental health concerns but no mention of formal support or other help-seeking sources; ChatGPT appears to be their diagnostic consultation source. Usage Intent: SA - user queried ChatGPT about their symptoms and self-disorder concerns, seeking symptom interpretation and diagnostic information ('He said I don't look like an ocd dpdr suffer But more like have a self disorder'). The AI provided symptom assessment that increased the user's anxiety and rumination.",,Source
1ppezk9,Supplement,NM,"Timeframe: 'I played with AI' indicates a single past interaction (simple past tense, no habitual markers). Source: NM - while user mentions planning to ask psychiatrist, no ecological information about why AI was chosen over other sources or barriers to help-seeking. The AI use appears incidental to organizing thoughts about an existing concern. Usage_intent: SE - user used AI 'to organize my thoughts' and gained insight about potential connection between physical symptoms and anxiety loops, representing self-pattern exploration rather than seeking emotional comfort or symptom assessment.",,Source
18q19ox,Supplement,Primary,"Timeframe: 'I used to just vent 2 AI' indicates past habitual behavior with simple past + frequency marker 'just' suggesting regular pattern. Source: Primary - user describes AI as past coping mechanism that they've now lost due to privacy concerns, with therapy mentioned but user describes not believing reassurance from people, suggesting AI was primary accessible support. Current barriers to AI use (privacy paranoia) and ineffective informal support ('I will not believe them') supports Primary. Usage_intent: VE - user explicitly states 'vent 2 AI' as the core AI usage behavior, indicating expression/release as the primary purpose rather than seeking specific responses.",,Source
1eno9fa,NM,Primary,"Timeframe: Episodic - single past event described with 'I spoke to AI chat' in simple past tense, no habitual markers. Source: Primary - user describes failed therapy relationship ('we had arguments,' therapist was invalidating, 'I don't work with her anymore') with AI providing better support than the failed formal source. Usage_intent: PE - user sought to understand/learn about their revenge thoughts ('why I wanted revenge'), and AI provided psychoeducational information ('it's very common for victims to want to hurt back') that helped them understand the concept.",,Source
1ecas7i,Primary,NM,"Timeframe: Episodic - 'I was venting to a ai robot one time' indicates a single discrete event in simple past tense with no habitual markers. Source: NM - while the post describes extensive trauma history and current isolation, it provides no information about the user's help-seeking ecology or why they chose AI over other sources. The AI interaction is described as a single venting session that went wrong, with no barriers, preferences, or other sources mentioned. Usage_intent: VE - the user explicitly states they were 'venting to a ai robot,' describing unidirectional emotional expression without seeking solutions or responses. The negative AI response was unexpected, not the intended purpose of the interaction.",,Source
